"https://drive.google.com/drive/folders/1azGeDDEL5DgmIMa9Cwk-9TI0sdgq3ofB?usp=drive_link","Tipo","Provincia","Localidad","Barrio","Domicilio","Cód. Postal","Cuit","Telefono","Ap.Vacuna","Ap.Vacuna Menor"
"Bazzetta","Farmacia","Buenos Aires","9 De Julio","","Bartolomé Mitre 2248, ","6500","27-23756132-0","","No","Si"
"Sourdeaux","Farmacia","Buenos Aires","9 De Julio","","Rosario 4605","1612","30-71467225-4","","Si","No"
"Farma 365 - Marmol","Farmacia","Buenos Aires","Acassuso","","Av. Sta Fe 408","1642","30-71232814-9","","Si","Si"
"Openfarma Sucursal Libertador","Farmacia","Buenos Aires","Acassuso","","Avenida Libertador 14995","1643","30-70755820-9","","Si","No"
"Salazar","Farmacia","Buenos Aires","Acassuso","","Eduardo Costa 808 ","1641","27-14418075-0","","Si","No"
"Vacunatorio Vacunar Sede Acassuso","Vacunatorio","Buenos Aires","Acassuso","","AVENIDA DEL LIBERTADOR 15326","1641","30-70730135-6","","Si","No"
"Zona Vital Acassuso ","Farmacia","Buenos Aires","Acassuso","","Avenida Santa Fe 902, Acassuso, Provincia de Buenos Aires, Argentina","1640","30-68641863-0","","Si","Si"
"Farma 24 ","Farmacia","Buenos Aires","Adrogue","","HIPÓLITO YRIGOYEN AVDA. 13305","B1851DKF","30-70750047-2","","No","No"
"Orellano","Farmacia","Buenos Aires","Adrogue","","SAN MARTIN AVDA. 1200","1846","27-23818144-0","","No","No"
"Dorsa","Farmacia","Buenos Aires","Alberti","","Calle 25 De Mayo N°199 ","6648","27-26529832-5","","Si","Si"
"Punto De Salud De La Ruta Scs","Farmacia","Buenos Aires","Alejandro Korn","","Avenida Independencia 111, Alejandro Korn, Provincia de Buenos Aires, Argentina","1864","33-71217026-9","","Si","Si"
"Malvinas Argentinas","Farmacia","Buenos Aires","Almirante Brown","","Madariaga 210","3366","30-71631383-9","","No","No"
"Americana","Farmacia","Buenos Aires","Avellaneda","","Tte. Gral. García 202-212","1868","30-70904023-1","","No","No"
"Crucesita Scs-Maga Shop Expres","Farmacia","Buenos Aires","Avellaneda","","AVENIDA BARTOLOME MITRE 1471","1870","30-57440994-9","","No","No"
"Heredia","Farmacia","Buenos Aires","Avellaneda","","Cnel. Martin Paulino Lacarra 1302","1869","30-71171263-8","","Si","No"
"Nova Renzi","Farmacia","Buenos Aires","Avellaneda","","Av. Hipólito Yrigoyen 999, Avellaneda, Provincia De Buenos Aires","1870","30-71710546-6","","No","No"
"Rusñak","Farmacia","Buenos Aires","Avellaneda","","Las Flores 1600","1875","30-69776393-3","","No","No"
"Seven Pharm ","Farmacia","Buenos Aires","Avellaneda","","Avenida Hipolito Yrigoyen 261, Avellaneda, Provincia de Buenos Aires, Argentina","1870","30-68379807-6","","Si","Si"
"Uom Avellaneda","Farmacia","Buenos Aires","Avellaneda","","Avenida Hipolito Yrigoyen 386, Avellaneda, Provincia de Buenos Aires, Argentina","1868","33-71197831-9","","No","No"
"Uom Mitre Scs","Farmacia","Buenos Aires","Avellaneda","","Avenida Bartolomé Mitre 1973, Crucecita, Avellaneda, Provincia de Buenos Aires, Argentina","1870","30-71370190-0","","No","No"
"De Hoyos","Farmacia","Buenos Aires","Ayacucho","","Arroyo 1241","7150","30-71440073-4","","No","No"
"Lopez","Farmacia","Buenos Aires","Azul","","San Martin 641","7300","27-12515624-5","","No","No"
"Ciotta","Farmacia","Buenos Aires","Azul","","Colón 812 ","7300","27-38371322-1","","Si","No"
"Colotto","Farmacia","Buenos Aires","Azul","","Av. Juan Domingo Perón 850","7300","30-71844514-7","","Si","No"
"Del Fuerte Azul","Farmacia","Buenos Aires","Azul","","Av. Mitre 809","7300","30-71722751-0","","Si","No"
"Farmacia Castro","Farmacia","Buenos Aires","Azul","","COLON 942","7300","27-32422966-9","","No","No"
"Farmacia Merlo","Farmacia","Buenos Aires","Azul","","Monseñor Caneva 540, Azul, Provincia de Buenos Aires, Argentina","7300","27-20827353-7","","No","No"
"Farmacia Orianda Azul","Farmacia","Buenos Aires","Azul","","Av. Mitre 428","7300","30-71790245-5","","No","No"
"Marchisio","Farmacia","Buenos Aires","Azul","","SAN MARTIN 399","7300","20-21504346-1","","Si","Si"
"Peroggi ","Farmacia","Buenos Aires","Azul","","HIPOLITO YRIGOYEN 548","7300","20-13891615-5","","Si","No"
"Soncini","Farmacia","Buenos Aires","Azul","","IRIGOYEN 650","7300","20-17208456-8","","Si","Si"
"Vinciguerra","Farmacia","Buenos Aires","Azul","","ALFREDO PRAT 301 (ENTRE ALVEAR Y RIVADAVIA)","7300","27-17114689-0","","Si","No"
"Almada","Farmacia","Buenos Aires","Bahia Blanca","","THOMPSON 198","8000","30-70858816-0","","No","No"
"Alto Patagonia","Farmacia","Buenos Aires","Bahia Blanca","","Sarmiento 4114 Local 9","8000","30-68813051-0 ","","Si","Si"
"25 De Mayo","Farmacia","Buenos Aires","Bahia Blanca","","25 de mayo 502","8000","30-69589443-7","","Si","No"
"Alsina","Farmacia","Buenos Aires","Bahia Blanca","","Alsina 817","8000","30-68114192-4","","No","No"
"Avenida Alem","Farmacia","Buenos Aires","Bahia Blanca","","Av. Leandro Niceforo Alem 201, B8000 BahíA Blanca, Provincia De Buenos Aires","8000","30-69591969-3","","Si","No"
"Braschi","Farmacia","Buenos Aires","Bahia Blanca","","Corrientes 293","8000","27-29370386-3","","Si","No"
"Busilacchi","Farmacia","Buenos Aires","Bahia Blanca","","Av. Lainez 1801","8000","23-16105923-4","","No","No"
"Cardelli Dupuy","Farmacia","Buenos Aires","Bahia Blanca","","SARMIENTO 1298","8001","20-25215311-0","","No","No"
"Castelli","Farmacia","Buenos Aires","Bahia Blanca","","CASTELLI 159","8000","30-70984385-0","","No","No"
"Cristal","Farmacia","Buenos Aires","Bahia Blanca","","Estomba 602, entre Patricios y Holdich","8000","33-69584233-9","","No","No"
"De La Bahia ","Farmacia","Buenos Aires","Bahia Blanca","","11 De Abril 296, B8000 Bahía Blanca, Provincia De Buenos Aires, Argentina","8000","30-70719934-9","","Si","No"
"Del Sol","Farmacia","Buenos Aires","Bahia Blanca","","Juan Molina 101","8000","27-22378828-4","","No","No"
"Del Teatro","Farmacia","Buenos Aires","Bahia Blanca","","Alsina 501","8000","30-68123169-9","","Si","No"
"Di Nucci","Farmacia","Buenos Aires","Bahia Blanca","","SALTA 405","8000","27-13343528-5","","No","No"
"Española","Farmacia","Buenos Aires","Bahia Blanca","","SAN MARTIN 301","8000","30-58011285-0","","No","No"
"Farmacia Caiola","Farmacia","Buenos Aires","Bahia Blanca","","Necochea 795, B8000 Bahía Blanca, Provincia De Buenos Aires, Argentina","8000","27-22505629-9","","No","No"
"Farmacia Di Leo","Farmacia","Buenos Aires","Bahia Blanca","","Misiónes 649","8000","30-69590874-8","","Si","Si"
"Farmacia Gamboa ","Farmacia","Buenos Aires","Bahia Blanca","","Matheu 85, B8000 Bahía Blanca, Provincia De Buenos Aires, Argentina","8000","23-17683510-9","","Si","Si"
"Farmacia Grunbein","Farmacia","Buenos Aires","Bahia Blanca","","Rafael Obligado 5766","8000","27-29145110-7","","Si","Si"
"Farmacia Grunmann","Farmacia","Buenos Aires","Bahia Blanca","","Garibaldi 298","8000","30-68115126-1","","No","No"
"Farmacia Pique","Farmacia","Buenos Aires","Bahia Blanca","","San Martin 117","8000","30-58080029-3","","Si","Si"
"Farmacia Zunini","Farmacia","Buenos Aires","Bahia Blanca","","Rosario 1935","8000","20-18488634-1","","Si","Si"
"Felini","Farmacia","Buenos Aires","Bahia Blanca","","Zelarrayán 428","8000","33-57200996-9","","Si","Si"
"Fiordelmondo","Farmacia","Buenos Aires","Bahia Blanca","","REMEDIOS DE ESCALADA 3","8001","20-17235227-9","","No","No"
"Framarini","Farmacia","Buenos Aires","Bahia Blanca","","Jlc, Aguado 199, B8003 Bahía Blanca, Provincia De Buenos Aires","8000","27-22505227-7","","Si","No"
"Gelardi ","Farmacia","Buenos Aires","Bahia Blanca","","Alberdi 1398 ","8000","20-25994832-1","","Si","Si"
"Godoy ","Farmacia","Buenos Aires","Bahia Blanca","","LINIERS 588","8001","27-14748644-3","","No","No"
"Guzman","Farmacia","Buenos Aires","Bahia Blanca","","Av. Alem 1067","8000","30-70955050-7","","No","No"
"Heguilen","Farmacia","Buenos Aires","Bahia Blanca","","AV. ALEM 602","8000","30-71576500-0","","No","No"
"Medrano","Farmacia","Buenos Aires","Bahia Blanca","","O HIGGINS 71","8000","30-70922606-8","","No","No"
"Muñoz","Farmacia","Buenos Aires","Bahia Blanca","","Dorrego 581","8000","30-66421166-8","","No","No"
"Mutual Federada","Farmacia","Buenos Aires","Bahia Blanca","","Yrigoyen 3684","8000","30-54159260-8","","No","No"
"Noroeste","Farmacia","Buenos Aires","Bahia Blanca","","AVELLANEDA 798","8000","30-69586888-6","","No","No"
"Ruben Bellei","Farmacia","Buenos Aires","Bahia Blanca","","Estomba 131","8000","30-71863284-2","","Si","Si"
"Stork","Farmacia","Buenos Aires","Bahia Blanca","","14 de Julio 4045 entre Urtasun y Bullrich","8000","27-34707727-0","","Si","No"
"Tablar","Farmacia","Buenos Aires","Bahia Blanca","","Brown 1097, B8000 Bahía Blanca, Provincia De Buenos Aires","8000","30-70485606-3","","No","No"
"Teniente Farias","Farmacia","Buenos Aires","Bahia Blanca","","Tte. Farias 1057","8000","30-71736790-8","","No","No"
"Del Cerro ","Farmacia","Buenos Aires","Balcarce","","CALLE 28 NUMERO 920","7620","20-29079052-3","","No","No"
"Farmacia Norte","Farmacia","Buenos Aires","Balcarce","","Calle 8 Numero 546 Esquina 15","7620","27-30533197-5","","No","No"
"Farmacia Vuotto","Farmacia","Buenos Aires","Balcarce","","calle 17 numero 701","7620","30-66424509-0","","No","No"
"Medrano","Farmacia","Buenos Aires","Balcarce","","Calle 19 N 897","7620","27-30533235-1","","Si","Si"
"Mutual Balcarce","Farmacia","Buenos Aires","Balcarce","","CALLE 22 N 703","7620","30-60584362-6","","No","No"
"San Jose","Farmacia","Buenos Aires","Balcarce","","Av. Juan Kelly 993","7620","30-70769084-0","","No","No"
"Santa Ines","Farmacia","Buenos Aires","Balcarce","","Calle 17 N 537 ","7620","30-70745689-9","","Si","No"
"Milano","Farmacia","Buenos Aires","Banfield","","french 690 local 13","1828","23-20831182-4","","No","No"
"Farma 24 Banfield","Farmacia","Buenos Aires","Banfield","","Avenida Presidente Hipólito Yrigoyen 7301, Banfield, Provincia de Buenos Aires, Argentina","B1828CGE","33-70809625-9","","No","No"
