https://drive.google.com/drive/folders/1azGeDDEL5DgmIMa9Cwk-9TI0sdgq3ofB?usp=drive_link,Tipo,Provincia,Localidad,Barrio,Domicilio,Cód. Postal,Cuit,Telefono,Ap.Vacuna,Ap.Vacuna Menor
Siempre Farmacias Colon ,Farmacia,Capital Federal,Capital Federal,,Av. Callao 1521,1024,30-53261098-9,(011) 48126764,Si,Si
Farmacia Ancers,Farmacia,Buenos Aires,Villa Luzuriaga,,AMERICA 3290,1754,30-70345711-4,(011) 44614071 / 44613270 (AGIL),No,No
Farmacia Berola,Farmacia,Buenos Aires,San Antonio De Areco,,Alsina 550,2760,27-13286534-0,(02326)455696,No,No
Farmatodo - Alesel,Farmacia,Buenos Aires,Boulogne,,Blanco Encalada 2486,1609,30-71062353-4,1140745086,Si,Si
Suiza,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,TUCUMAN 701,1049,30-70764318-4,(011)4393-6425/4394-7935,No,No
Farmacity 100-Parana,Farmacia,Entre Rios,Parana,,SAN MARTIN 1125,3100,30-69213874-7,(0343)423-5256,No,No
Farmacity 101-Peatonal Cba,Farmacia,Cordoba,Cordoba,,9 DE JULIO 336,5000,30-69213874-7,(0351)425-0855,No,No
Farmacity 102-Posadas 1 - Bolivar,Farmacia,Misiones,Posadas,,BOLIVAR 1709,3300,30-69213874-7,(0376)4422-832/747,No,No
Farmacity 103-Libertador,Farmacia,Capital Federal,Capital Federal,NUÑEZ,DEL LIBERTADOR AVDA. 6636,1429,30-69213874-7,(011)4511-2181,No,No
Farmacity 104-Resistencia 1,Farmacia,Chaco,Resistencia,,JOSE MARIA PAZ 151,3500,30-69213874-7,(0362)444-7646,No,No
Farmacity 105-Posadas 2 - Ayacucho,Farmacia,Misiones,Posadas,,AYACUCHO 318,3300,30-69213874-7,(0376)4432-561,No,No
Farmacity 106-Beiro Ii,Farmacia,Capital Federal,Capital Federal,VILLA DEVOTO,FRANCISCO BEIRO AVDA. 3566,1419,30-69213874-7,(011)4580-2271,No,No
Farmacity 107-Pedro Goyena,Farmacia,Capital Federal,Capital Federal,CABALLITO,PEDRO GROYENA 701,1416,30-69213874-7,(011)4921-1672,No,No
Farmacity 108-Chorroarin,Farmacia,Capital Federal,Capital Federal,VILLA URQUIZA,DE LOS INCAS AVDA. 4138,1431,30-69213874-7,(011)4554-2255,No,No
Farmacity 109-Cerro Las Rosas Iii,Farmacia,Cordoba,Cordoba,,RAFAEL NUÑEZ AVDA. 3660,5000,30-69213874-7,(0351)481-4494,No,No
Farmacity 110-Honduras,Farmacia,Capital Federal,Capital Federal,PALERMO,HONDURAS 3953,1425,30-69213874-7,(011)4511-9400,No,No
Farmacity 111-Salta 1 - Peatonal,Farmacia,Salta,Salta,,ALBERDI 84,4400,30-69213874-7,(0387)431-3188,No,No
Farmacity 112-La Plata 365,Farmacia,Capital Federal,Capital Federal,CABALLITO,LA PLATA AVDA. 365,1424,30-69213874-7,(011)4901-8602,No,No
Farmacity 113-Posadas 3 - Arrechea,Farmacia,Misiones,Posadas,,ALFONSO ARRECHEA 867,3300,30-69213874-7,(0376)4429-082,No,No
Farmacity 114-Alberdi,Farmacia,Capital Federal,Capital Federal,MATADEROS,SALADILLO 2016,1408,30-69213874-7,(011)4686-3461,No,No
Farmacity 115-Florida 3,Farmacia,Capital Federal,Capital Federal,SAN NICOLAS,FLORIDA 52,1084,30-69213874-7,(011)4342-9692,No,No
Farmacity 116-V. Del Pino,Farmacia,Capital Federal,Capital Federal,BELGRANO,VIRREY DEL PINO 2684,1428,30-69213874-7,(011)4511-2182,No,No
Farmacity 117-Chiclana (La Plata Iii),Farmacia,Capital Federal,Capital Federal,POMPEYA,LA PLATA AVDA. 2401,1437,30-69213874-7,(011)4924-3237,No,No
Farmacity 118-San Martin,Farmacia,Cordoba,Rio Cuarto,,SAN MARTIN 302,5806,30-69213874-7,(03548)463-7858,No,No
Farmacity 119-Beiro Iii,Farmacia,Capital Federal,Capital Federal,VILLA DEVOTO,FRANCISCO BEIRO AVDA. 5278,1419,30-69213874-7,(011)4567-6986,No,No
Farmacity 120-Melincue,Farmacia,Capital Federal,Capital Federal,VILLA DEL PARQUE,MELINCUE 3185,1417,30-69213874-7,(011)4580-2272,No,No
Farmacity 122-Guemes,Farmacia,Capital Federal,Capital Federal,PALERMO,CORDOBA AVDA. 3949,1425,30-69213874-7,(011)4861-6617,No,No
Farmacity 123-Cid Campeador,Farmacia,Capital Federal,Capital Federal,CABALLITO,GAONA AVDA. 1101,1424,30-69213874-7,(011)5195-1180,No,No
Farmacity 125-Resistencia 3 - Güemes,Farmacia,Chaco,Resistencia,,GUEMES 475,3500,30-69213874-7,(0362)476-2501,No,No
Farmacity 126-Resistencia 2 - Peron,Farmacia,Chaco,Resistencia,,JUAN DOMINGO PERON 100,3500,30-69213874-7,(0362)442-8468,No,No
Farmacity 127-Triunvirato Iii,Farmacia,Capital Federal,Capital Federal,VILLA URQUIZA,TRIUNVIRATO AVDA. 4451,1431,30-69213874-7,(011)4508-1310,No,No
Farmacity 128-Formosa 1 - Moreno  ,Farmacia,Formosa,Formosa,,MORENO 806,3600,30-69213874-7,(0370)442-6006,No,No
Farmacity 129-Salta 3 - Shopping Alto Noa,Farmacia,Salta,Salta,,VIRREY TOLEDO AVDA. 702,4400,30-69213874-7,(03874)212-556,No,No
Farmacity 130-Suarez,Farmacia,Capital Federal,Capital Federal,BARRACAS,MONTES DE OCA AVDA. 894,1270,30-69213874-7,(011)4302-9868,No,No
Farmacity 131-La Cañada,Farmacia,Cordoba,Cordoba,,LAVALLEJA 34,5000,30-69213874-7,(0351)423-0469,No,No
Farmacity 132-Billinghurst,Farmacia,Capital Federal,Capital Federal,PALERMO,CORDOBA AVDA. 3381,1425,30-69213874-7,(011)4508-3232,No,No
Farmacity 133-Jujuy Ii,Farmacia,Capital Federal,Capital Federal,SAN CRISTOBAL,SAN JUAN AVDA. 2701,1229,30-69213874-7,(011)4308-2786,No,No
Farmacity 134-Salta- Belgrano,Farmacia,Salta,Salta,,BELGRANO AVDA. 1789,4400,30-69213874-7,(0387)422-1219,No,No
Farmacity 135-Pujol,Farmacia,Capital Federal,Capital Federal,CABALLITO,SAN MARTIN AVDA. 1854,1424,30-69213874-7,(011)5195-1181,No,No
Farmacity 136-Asamblea,Farmacia,Capital Federal,Capital Federal,PARQUE CHACABUCO,ASAMBLEA 826,1406,30-69213874-7,(011)4921-8296,No,No
Farmacity 137-Mosconi,Farmacia,Capital Federal,Capital Federal,VILLA URQUIZA,GENERAL JOSE GERVASIO DE ARTIGAS 4684,1431,30-69213874-7,(011)4514-2350,No,No
Farmacity 139-Sobremonte,Farmacia,Cordoba,Rio Cuarto,,SOBREMONTE 725,5806,30-69213874-7,(03584)648-941,No,No
Farmacity 140-Gaona,Farmacia,Capital Federal,Capital Federal,VILLA GENERAL MITRE,MANUEL RICARDO TRELLES 1065,1406,30-69213874-7,(011)5197-2412,No,No
Farmacity 141-Jujuy 1 - Necochea,Farmacia,Jujuy,San Salvador De Jujuy,,NECOCHEA 426 PB,4600,30-69213874-7,(0388)431-0132,No,No
Farmacity 142-Martinez,Farmacia,Capital Federal,Capital Federal,BELGRANO,FEDERICO LACROZE AVDA. 3289,1428,30-69213874-7,(011)4554-7764,No,No
Farmacity 143-Belgrano,Farmacia,Capital Federal,Capital Federal,MONSERRAT,BELGRANO AVDA. 1194,1090,30-69213874-7,(011)4382-9318,No,No
Farmacity 144-Zabala,Farmacia,Capital Federal,Capital Federal,COLEGIALES,CABILDO AVDA. 1274,1426,30-69213874-7,(011)4780-5760,No,No
Farmacity 145-Defensa,Farmacia,Capital Federal,Capital Federal,SAN TELMO,SAN JUAN AVDA. 387,1147,30-69213874-7,(011)4300-6338,No,No
Farmacity 146-J.B.Justo,Farmacia,Capital Federal,Capital Federal,VILLA CRESPO,CORRIENTES AVDA. 5801,1414,30-69213874-7,(011)4578-7486,No,No
Farmacity 147-Newbery,Farmacia,Capital Federal,Capital Federal,CHACARITA,ALVAREZ THOMAS AVDA. 284,1427,30-69213874-7,(011)4555-5520,No,No
Farmacity 148-Resistencia 5 - 9 De Julio,Farmacia,Chaco,Resistencia,,9 DE JULIO AVDA. 1050-LOCAL 01 Y 02,3500,30-69213874-7,(0362)276-2469,No,No
Farmacity 149-La Rioja 1 - Peron,Farmacia,La Rioja,La Rioja,,JUAN DOMINGO PERON AVDA. 1002,5300,30-69213874-7,(0380)446-8663,No,No
Farmacity 150-Mercedes,Farmacia,Capital Federal,Capital Federal,FLORESTA,RIVADAVIA AVDA. 8503,1407,30-69213874-7,(011)4672-4178,No,No
Farmacity 151-Larrea Y Peña,Farmacia,Capital Federal,Capital Federal,RECOLETA,PEÑA 2383,1425,30-69213874-7,(011)4800-1132,No,No
Farmacity 152-San Luis 3 - Peatonal,Farmacia,San Luis,San Luis,,RIVADAVIA 602,5700,30-69213874-7,(0266)442-8529,No,No
Farmacity 154-La Rioja 2 - Rivadavia,Farmacia,La Rioja,La Rioja,,RIVADAVIA 364,5300,30-69213874-7,(0380)443-8885,No,No
Farmacity 155-Resistencia 4 - Irigoyen,Farmacia,Chaco,Resistencia,,GÜEMES 101,3500,30-69213874-7,(0362)276-2775,No,No
Farmacity 156-Saenz Peña Chaco,Farmacia,Chaco,Presidente Roque Saenz Peña,,SAN MARTIN 131,3500,30-69213874-7,(0364)443-3322,No,No
Farmacity 157-Boulevard San Juan,Farmacia,Cordoba,Cordoba,,BOULEVARD SAN JUAN 24,5000,30-69213874-7,(0351)421-2194,No,No
